smiles,cid,Molecular_Weight,Hydrogen_bond_Acceptor,Hydrogen_bond_Donor,xlogP,Physiological_Charge,Polarized_Surface_Area,Number_of_Rotatable_bonds,BBB
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,2164,226.27,3,2,2.1,0,75.3,4,1
Clc1ccc2c(c1)C(=Nc1ccccc1O2)N1CCNCC1,2170,313.8,3,1,2.6,0,36.9,1,1
COc1ccc(cc1)C(=O)N1CCCC1=O,2196,219.24,3,0,1.6,0,46.6,2,1
CC(=O)Oc1ccccc1C(O)=O,2244,180.16,4,1,1.2,0,63.6,3,1
COc1ccc(cc1)CCN1CCC(CC1)Nc1nc2ccccc2n1Cc1ccc(cc1)F,2247,458.6,5,1,6,0,42.3,8,0
CCC1(CC)C(=O)NC(=O)NC1=O,2294,184.19,3,2,0.6,0,75.3,2,1
CCC1(C)CC(=O)NC(=O)C1,2310,155.19,2,1,0.7,0,46.2,1,1
NC(CO)C(=O)NNCc1ccc(c(c1O)O)O BENSERAZIDE,2327,257.24,7,7,-1.3,0,148,5,0
CC(Cc1ccccc1)N(C)Cc1ccccc1,2341,239.35,1,0,4.1,0,3.2,5,1
CCN(CC)C(=O)C1CN2CCc3cc(c(cc3C2CC1OC(C)=O)OC)OC,2342,404.5,6,0,2.1,0,68.3,7,1
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,2351,366.5,3,0,5.3,0,15.7,10,0
CNCCCCOc1ccccc1Cc1ccccc1,2377,269.4,2,1,4.1,0,21.3,8,1
Brc1ccc2c(c1)C(=NCC(=O)N2)c1ccccn1,2441,316.15,3,1,1.7,0,54.4,1,1
CN(C)CCOC(c1ccccc1)c1ccc(cc1)Br,2444,334.2,2,0,4,0,12.5,6,1
CCN(CC)CCNC(=O)c1cc(c(cc1OC)N)Br,2446,344.25,4,2,2.8,0,67.6,7,1
CC(C)C(Br)C(=O)NC(N)=O,2447,223.07,2,2,1.1,0,72.2,2,1
OC1(CCN(CCCC(=O)c2ccc(cc2)F)CC1)c1ccc(cc1)Br,2448,420.3,4,1,3.3,0,40.5,6,1
Cc1nnc2n1c1sc(cc1C(=NC2)c1ccccc1Cl)Br,2451,393.7,4,0,2.8,0,71.3,1,1
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)c1ncccn1,2477,385.5,6,0,2.6,0,69.6,6,1
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,2479,212.25,3,2,1.6,0,75.3,3,1
CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,2481,224.26,3,2,1.7,0,75.3,4,1
CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(Cc3c[nH]c4cccc2c34)N(CC=C)C1,2512,451.6,4,2,3.4,0,71.7,8,1
COc1ccc(cc1OC)CCN(C)CCCC(C#N)(C(C)C)c1ccc(c(c1)OC)OC,2520,454.6,6,0,3.8,0,64,13,0
CC(C)(CO)C(O)C(=O)NCCCC(O)=O,2527,233.26,5,4,-0.7,0,107,7,1
NC(=O)N1c2ccccc2C=Cc2ccccc12,2554,236.27,1,1,2.5,0,46.3,0,1
NC(=O)C1(CCN(CCCN2c3ccccc3CCc3ccccc23)CC1)N1CCCCC1,2580,446.6,4,1,4.5,0,52.8,6,1
CCN(CC)C(=O)Nc1ccc(c(c1)C(C)=O)OCC(O)CNC(C)(C)C,2663,379.5,5,3,1.9,0,90.9,10,0
CC(=O)OCC1=C(N2C(SC1)C(NC(=O)CCCC(N)C(O)=O)C2=O)C(O)=O CEPHALOSPORIN-C,2669,415.4,10,4,-4.4,0,202,10,0
OC(=O)COCCN1CCN(CC1)C(c1ccccc1)c1ccc(cc1)Cl CETIRIZINE,2678,388.9,5,1,1.7,0,53,8,0
OC(O)C(Cl)(Cl)Cl,2707,165.4,2,2,1,0,40.5,0,1
CN1CCN(CC1)C(c1ccccc1)c1ccc(cc1)Cl,2710,300.8,2,0,4.5,0,6.5,3,1
CNC1=Nc2ccc(cc2C(=[N+]([O-])C1)c1ccccc1)Cl,2712,299.75,3,1,2.4,0,48.2,1,1
CN1C(c2ccc(cc2)Cl)S(=O)(=O)CCC1=O,2717,273.74,3,0,1.1,0,62.8,1,1
CCN(CC)CCCC(C)Nc1ccnc2cc(ccc12)Cl,2719,319.9,3,1,4.6,0,28.2,8,0
NC(=O)OCC(O)COc1ccc(cc1)Cl,2724,245.66,4,2,1.2,0,81.8,6,1
CN(C)CCCN1c2ccccc2Sc2ccc(cc12)Cl,2726,318.9,3,0,5.2,0,31.8,4,1
OC(=O)C1=CC(=O)c2ccccc2O1,2741,190.15,4,1,1.6,0,63.6,1,1
CN\C(\NCCSCc1nc[nH]c1C)=N/C#N,2756,252.34,4,3,0.4,0,114,7,0
CN(C)CCCC1(OCc2cc(ccc12)C#N)c1ccc(cc1)F,2771,324.4,4,0,3.2,0,36.3,5,1
COc1cc(c(cc1C(=O)NC1CCN(CC1)Cc1ccccc1)Cl)N,2780,373.9,4,2,3.2,0,67.6,5,1
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(ccc21)Cl,2789,300.74,2,0,2.1,0,40.6,1,1
NC(=O)C1(CCN(CCCN2c3ccccc3CCc3ccc(cc23)Cl)CC1)N1CCCCC1,2793,481.1,4,1,5.4,0,52.8,6,1
CC(C)\N=C1/C=C2N(c3ccc(cc3)Cl)c3ccccc3N=C2C=C/1Nc1ccc(cc1)Cl,2794,473.4,4,1,7.1,0,40,4,0
CN(C)CCCN1c2ccccc2CCc2ccc(cc12)Cl,2801,314.9,2,0,5.2,0,6.5,4,1
[O-][N+](=O)c1ccc2c(c1)C(=NCC(=O)N2)c1ccccc1Cl,2802,315.71,4,1,2.4,0,87.3,1,1
CCc1sc2c(c1)C(=NCC(=O)N2C)c1ccccc1Cl,2811,318.8,3,0,3.5,0,60.9,2,1
Clc1ccc2c(c1)C1(OCCN1CC(=O)N2)c1ccccc1Cl,2816,349.2,3,1,3.2,0,41.6,1,1
CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,2895,275.4,1,0,5.2,0,3.2,3,1
Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)N,2955,248.3,4,2,1,0,94.6,2,1
CCCCN1C(=O)N(CCCC)c2ncn(c2C1=O)CC(C)=O,2984,320.39,4,0,1.9,0,75.5,8,1
CNCCCN1c2ccccc2CCc2ccccc12,2995,266.4,2,1,4.9,0,15.3,4,1
Clc1ccc2c(c1)C(=NCC(=O)N2)c1ccccc1,2997,270.71,2,1,2.9,0,41.5,1,1
CC(N)Cc1ccccc1,3007,135.21,1,1,1.8,0,26,2,1
CN1C(=O)CN=C(c2ccccc2)c2cc(ccc12)Cl,3016,284.74,2,0,3,0,32.7,1,1
CC1(C)OC(=O)NC1=O,3081,129.11,3,1,0.1,0,55.4,0,1
CN(C)CCOC(c1ccccc1)c1ccccc1,3100,255.35,2,0,3.3,0,12.5,6,1
CNCC(O)c1ccc(c(c1)OC(=O)C(C)(C)C)OC(=O)C(C)(C)C DIPIVEFRINE,3105,351.4,6,2,2.9,0,84.9,9,0
OCCN(CCO)c1nc(c2nc(nc(c2n1)N1CCCCC1)N(CCO)CCO)N1CCCCC1,3108,504.6,12,4,0.7,0,145,12,0
CCN(CC)C(=S)SSC(=S)N(CC)CC,3117,296.5,4,0,3.9,0,121,7,1
CCCC(CCC)C(O)=O,3121,144.21,2,1,2.8,0,37.3,5,1
Clc1ccc2c(c1)NC(=O)N2C1CCN(CCCN2C(=O)Nc3ccccc23)CC1,3151,425.9,3,2,3.9,0,67.9,5,0
COc1cc2c(cc1OC)C(=O)C(CC1CCN(CC1)Cc1ccccc1)C2,3152,379.5,4,0,4.3,0,38.8,6,1
CCN1CC(CCN2CCOCC2)C(C1=O)(c1ccccc1)c1ccccc1,3156,378.5,3,0,3.3,0,32.8,6,1
CN(C)CCOC(C)(c1ccccc1)c1ccccn1,3162,270.37,3,0,2.5,0,25.4,6,1
Fc1ccc(cc1)C(=O)CCCN1CCC(=CC1)N1C(=O)Nc2ccccc12,3168,379.4,4,1,3.5,0,52.6,6,1
FC(F)OC(F)(F)C(F)Cl,3226,184.49,6,0,2.1,0,9.2,3,1
CCN1C=C(C(O)=O)C(=O)c2cc(c(nc12)N1CCNCC1)F,3229,320.32,8,2,-0.2,0,85.8,3,0
Clc1ccc2c(c1)C(=NCc1nncn12)c1ccccc1,3261,294.74,3,0,1.7,0,43.1,1,1
CCOC(=O)c1cnc2n(ncc2c1NN=C(C)C)CC,3277,289.33,6,1,2.1,0,81.4,6,1
CCOCC,3283,74.12,1,0,0.9,0,9.2,2,1
NC(=O)OC1(CCCCC1)C#C,3284,167.2,2,1,1.3,0,52.3,3,1
CCN(CC)C(C)CN1c2ccccc2Sc2ccccc12,3290,312.5,3,0,4.8,0,31.8,5,1
CCC1(C)CC(=O)NC1=O,3291,141.17,2,1,0.4,0,46.2,1,1
CCN1C(=O)NC(C1=O)c1ccccc1,3292,204.22,2,1,1,0,49.4,2,1
CCOC(=O)C1N=C(c2ccccc2F)c2cc(ccc2NC1=O)Cl,3299,360.8,5,1,2.9,0,67.8,4,1
CCNCC(O)c1cccc(c1)O ETILEFRINE,3306,181.23,3,3,0.1,0,52.5,4,0
CCc1sc2c(c1)C(=NCc1nnc(n12)C)c1ccccc1Cl,3307,342.8,4,0,2.6,0,71.3,2,1
CC(=O)OCC(CCn1cnc2cnc(nc12)N)COC(C)=O,3324,321.33,8,1,0,0,122,9,1
NC(=O)OCC(COC(N)=O)c1ccccc1,3331,238.24,4,2,0.6,0,105,7,1
CCOC(=O)C1=C(C)NC(=C(C1c1cccc(c1Cl)Cl)C(=O)OC)C,3333,384.2,5,1,3.9,0,64.6,6,0
CCC(=O)N(C1CCN(CC1)CCc1ccccc1)c1ccccc1,3345,336.5,2,0,4,0,23.6,6,1
CC(C)(C(O)=O)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1,3348,501.7,5,3,3,0,81,10,0
Clc1ccc(cc1)OCC(=O)N1CCN(CC1)Cc1ccc2c(c1)OCO2,3351,388.8,5,0,3.2,0,51.2,5,1
CN1CCN(CC1)c1c(cc2c(c1F)N(CCF)C=C(C(O)=O)C2=O)F,3357,369.34,9,1,-0.1,0,64.1,4,0
OC(Cn1cncn1)(Cn1cncn1)c1ccc(cc1F)F,3365,306.27,7,1,0.4,0,81.6,5,1
NC1=NC(=O)NC=C1F,3366,129.09,3,2,-0.9,0,67.5,0,1
CN1C(=O)CN=C(c2ccccc2F)c2cc(ccc21)Cl,3369,302.73,3,0,2.8,0,32.7,1,1
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,3372,437.5,8,1,4.4,0,55.2,6,1
CN1C(=O)CN=C(c2ccccc2F)c2cc(ccc21)[N+]([O-])=O,3380,313.28,5,0,2.1,0,78.5,1,1
CNCCC(Oc1ccc(cc1)C(F)(F)F)c1ccccc1,3386,309.33,5,1,4,0,21.3,6,1
CCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,3389,549.7,9,0,7.4,0,61.3,13,1
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(ccc21)Cl,3393,387.9,4,0,3,0,35.9,6,1
Fc1ccc(cc1)C(CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1)c1ccc(cc1)F,3396,475.6,5,1,5.6,0,35.6,7,1
OCCN1C(=O)CN2CCOC2(c2ccccc2F)c2cc(ccc21)Cl,3398,376.8,5,1,2.2,0,53,3,1
Fc1ccccc1C1=NCC(=O)N(CC2CC2)c2ccc(cc21)Cl,3400,342.8,3,0,3,0,32.7,3,1
NCC1(CCCCC1)CC(O)=O,3446,171.24,3,2,-1.1,0,63.3,3,1
Oc1noc2c1CCNC2,3448,140.14,3,2,-0.9,0,50.4,0,1
CCC1(CCC(=O)NC1=O)c1ccccc1,3487,217.26,2,1,1.9,0,46.2,2,1
COc1ccc(cc1C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1)Cl,3488,494,5,3,4.8,0,122,8,0
OC1(CCN(CCCC(=O)c2ccc(cc2)F)CC1)c1ccc(cc1)Cl,3559,375.9,4,1,3.2,0,40.5,6,1
FC(F)(F)C(Cl)Br,3562,197.38,3,0,2.3,0,0,0,1
Fc1ccccc1C12OCCN2CC(=O)Nc2ccc(cc21)Br,3563,377.2,4,1,2.8,0,41.6,1,1
CN1C(=O)NC(=O)C(C)(C1=O)C1=CCCCC1,3608,236.27,3,1,1.5,0,66.5,1,1
CN1CCCN(CC1)C(c1ccccc1)c1ccc(cc1)Cl,3627,314.9,2,0,4.2,0,6.5,3,1
CC(N)Cc1ccc(cc1)O HYDROXYAMPHETAMINE,3651,151.21,2,2,1.4,0,46.2,2,0
Nc1c2ccccc2nc2c1C(O)CCC2,3655,214.26,3,2,1.4,0,59.1,0,1
OCCOCCN1CCN(CC1)C(c1ccccc1)c1ccc(cc1)Cl,3658,374.9,4,1,3.7,0,35.9,8,1
NNCCc1ccccc1,3675,136.19,2,2,1.2,0,38,3,1
CCN(CC)CC(=O)Nc1c(cccc1C)C,3676,234.34,2,1,2.3,0,32.3,5,0
CN(C)CCCN1c2ccccc2CCc2ccccc21,3696,280.4,2,0,4.8,0,6.5,4,1
C1COC(CN1)COc1cccc2c1CC=C2,3704,231.29,3,1,1.9,0,30.5,3,1
COc1ccc2n(c(c(c2c1)CC(O)=O)C)C(=O)c1ccc(cc1)Cl,3715,357.8,4,1,4.3,0,68.5,4,1
CC(C)NNC(=O)c1ccncc1,3748,179.22,3,2,0.4,0,54,3,1
Cc1onc(c1)C(=O)NNCc1ccccc1,3759,231.25,4,2,1.5,0,67.2,4,1
FC(F)OC(Cl)C(F)(F)F,3763,184.49,6,0,2.1,0,9.2,2,1
CC(C(O)=O)c1cccc(c1)C(=O)c1ccccc1,3825,254.28,3,1,3.1,0,54.4,4,1
Nc1nnc(c(n1)N)c1cccc(c1Cl)Cl,3878,256.09,5,2,1.4,0,90.7,1,1
COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,3916,328.5,4,0,4.7,0,41,5,1
O=C1N(c2ccccc2)c2ccccc2C1(Cc1ccncc1)Cc1ccncc1,3932,391.5,3,0,4.1,0,46.1,5,1
CCN(CC)C(=O)NC1CN(C)C2Cc3c[nH]c4cccc(c34)C2=C1,3938,338.4,2,2,2.7,0,51.4,3,1
CN1C(CCCC1CC(=O)c1ccccc1)CC(O)c1ccccc1,3945,337.5,3,1,3.8,0,40.5,6,1
CN(CCCN1c2ccccc2CCc2ccccc12)CC(=O)c1ccc(cc1)Cl,3947,419,3,0,6.8,0,23.6,7,1
CCOC(=O)N1CCC(CC1)=C1c2ccc(cc2CCc2cccnc12)Cl,3957,382.9,3,0,5.2,0,42.4,2,1
OC1N=C(c2ccccc2Cl)c2cc(ccc2NC1=O)Cl,3958,321.2,3,2,2.4,0,61.7,1,1
CCCCc1nc(c(n1Cc1ccc(cc1)c1ccccc1c1[nH]nnn1)CO)Cl,3961,422.9,5,2,4.3,0,92.5,8,0
CN1CCN(CC1)C1=Nc2ccccc2Oc2ccc(cc12)Cl,3964,327.8,3,0,3.1,0,28.1,1,1
CNCCCC12CCC(c3ccccc31)c1ccccc21,4011,277.4,1,1,4.6,0,12,4,1
OC1(N2CCN=C2c2ccccc12)c1ccc(cc1)Cl,4020,284.74,2,1,2.2,0,35.8,1,1
CC1=NN(C(=O)C1)c1ccccc1,4021,174.2,2,0,1.3,0,32.7,1,1
CN(C)CCOC(=O)COc1ccc(cc1)Cl,4039,257.71,4,0,2.5,0,38.8,7,1
CN1CCN=C(c2ccccc2)c2cc(ccc21)Cl,4041,270.75,2,0,4.4,0,15.6,1,1
CCN(CC)CCNC(=O)COc1ccc(cc1)OC,4045,280.36,4,1,2,0,50.8,9,1
CC12CC3CC(C)(C1)CC(N)(C3)C2,4054,179.3,1,1,3.3,0,26,0,1
CCOC(=O)C1(CCN(C)CC1)c1ccccc1,4058,247.33,3,0,2.5,0,29.5,4,1
CCC1(NC(=O)N(C)C1=O)c1ccccc1,4060,218.25,2,1,1.5,0,49.4,2,1
CCCC(C)(COC(N)=O)COC(N)=O,4064,218.25,4,2,0.7,0,105,8,1
C1CN2CCC1C(C2)CN1c2ccccc2Sc2ccccc12,4066,322.5,3,0,4.6,0,31.8,2,1
CN1CCCCC1CCN1c2ccccc2Sc2ccc(cc12)S(C)=O,4078,386.6,5,0,4.5,0,68.1,4,1
CC1(C)SC2C(NC(=O)C(N=C)c3ccccc3)C(=O)N2C1C(O)=O METAMPICILLIN,4084,361.4,6,2,3,0,124,5,0
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,4095,309.4,2,0,3.9,0,20.3,7,1
CN(C)CCN(Cc1sccc1)c1ccccn1,4098,261.39,4,0,2.6,0,47.6,6,1
CCC1(CC)C(=O)NC(=O)N(C)C1=O,4099,198.22,3,1,1.2,0,66.5,2,1
CSc1ccc2c(c1)C(Cc1ccccc1S2)N1CCN(C)CC1,4106,356.6,4,0,4.2,0,57.1,2,1
COC(F)(F)C(Cl)Cl,4116,164.96,3,0,2.2,0,9.2,2,1
COC(=O)C(C1CCCCN1)c1ccccc1,4158,233.31,3,1,0.2,0,38.3,4,1
CCC1(CC)C(=O)NCC(C)C1=O,4162,183.25,2,1,0.8,0,46.2,2,1
Cc1ncc(n1CCO)[N+]([O-])=O,4173,171.15,4,1,0,0,83.9,2,1
CC1COC2(N1CC(=O)Nc1ccc(cc12)Cl)c1ccccc1Cl,4177,363.2,3,1,3.7,0,41.6,1,1
CC(N)COc1c(cccc1C)C,4178,179.26,2,1,2.1,0,35.2,3,1
CN1CCN2C(C1)c1ccccc1Cc1ccccc21,4184,264.4,2,0,3.4,0,6.5,0,1
Clc1ccc(c(c1)Cl)COC(Cn1ccnc1)c1ccc(cc1Cl)Cl,4189,416.1,2,0,5.3,0,27,6,1
Cc1ncc2n1c1ccc(cc1C(=NC2)c1ccccc1F)Cl,4192,325.8,3,0,2.5,0,30.2,1,1
Cc1cc(nnc1NCCN1CCOCC1)c1ccccc1,4199,298.4,5,1,2,0,50.3,5,1
CN1CCN2C(C1)c1ccccc1Cc1cccnc21,4205,265.35,3,0,3.3,0,19.4,0,1
Clc1ccc(cc1)C(=O)NCCN1CCOCC1,4235,268.74,3,1,1.5,0,41.6,4,1
NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,4236,273.4,3,1,1.7,0,79.4,5,1
Cc1ccc(cc1)C1(O)CCN(CCCC(=O)c2ccc(cc2)F)CC1,4249,355.4,4,1,3,0,40.5,6,1
Clc1ccc2c(c1)N(CCCN1CCC3(CC1)N1CCCCC1NC3=O)c1ccccc1CC2,4257,479.1,4,1,5.4,0,38.8,4,1
CN(CCCOc1ccc(cc1Cl)Cl)CC#C,4380,272.17,2,0,4.2,0,12.5,6,1
CCN1C=C(C(O)=O)C(=O)c2ccc(nc12)C NALIDIXIC-ACID,4421,232.23,5,1,1.4,0,70.5,2,0
CCC1=NN(CCCN2CCN(CC2)c2cccc(c2)Cl)C(=O)N1CCOc1ccccc1,4449,470,5,0,4.3,0,51.6,10,1
CN1CCOC(c2ccccc2)c2ccccc2C1,4450,253.34,2,0,2.9,0,12.5,1,1
O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,4472,298.34,4,3,0.9,0,83.1,7,1
COC(=O)C1=C(C)NC(=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCCN(C)Cc1ccccc1)C,4474,479.5,8,1,3.8,0,114,10,0
COC(=O)C1=C(C)NC(=C(C1c1ccccc1[N+]([O-])=O)C(=O)OC)C,4485,346.3,7,1,2.2,0,110,5,0
CN1C(=O)CN=C(c2ccccc2)c2cc(ccc12)[N+]([O-])=O,4496,295.29,4,0,2.2,0,78.5,1,1
CNCCC(Oc1ccccc1OC)c1ccccc1,4500,271.35,3,1,3.1,0,30.5,7,1
[O-][N+](=O)c1ccc2c(c1)C(=NCC(=O)N2)c1ccccc1,4506,281.27,4,1,2.2,0,87.3,1,1
CCOC(=O)C1=C(C)NC(=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC)C,4507,360.4,7,1,2.9,0,110,6,0
CN1CC(c2ccccc2)c2cccc(c2C1)N,4528,238.33,2,1,2.6,0,29.3,1,1
NCC(O)c1cccc(c1)O NORFENEFRINE,4538,153.18,3,3,-0.8,0,66.5,2,0
CCN1C=C(C(O)=O)C(=O)c2cc(c(cc12)N1CCNCC1)F,4539,319.33,7,2,-1,0,72.9,3,0
CNCCC=C1c2ccccc2CCc2ccccc12,4543,263.4,1,1,4.5,0,12,3,1
Cn1c2c(c3ccccc13)C(=O)C(CC2)Cn1ccnc1C,4595,293.4,2,0,2.3,0,39.8,2,1
CN(C)CCOC(c1ccccc1)c1ccccc1C ORPHENADRINE,4601,269.4,2,0,3.8,0,12.5,6,0
OC1N=C(c2ccccc2)c2cc(ccc2NC1=O)Cl,4616,286.71,3,2,2.2,0,61.7,1,1
CC1CN2CC(=O)Nc3ccc(cc3C2(O1)c1ccccc1)Cl,4617,328.8,3,1,3,0,41.6,1,1
NC(=O)CN1CC(O)CC1=O,4626,158.16,3,2,-2.2,0,83.6,2,1
COc1ccc2c(c1OC)C13CCN(C)C(C2)C3(O)CCC(O)C1,4637,333.4,5,2,1.6,0,62.2,2,1
COc1cc2[nH]c(c(c2cc1OC)CCN1CCN(CC1)c1ccccc1)C,4640,379.5,4,1,4.3,0,40.7,6,1
CN(CC#C)Cc1ccccc1,4688,159.23,1,0,2.1,0,3.2,3,1
Fc1ccc(cc1)C1CCNCC1COc1ccc2c(c1)OCO2,4691,329.4,5,1,3.5,0,39.7,4,1
NC1=NC(=O)C(O1)c1ccccc1,4723,176.17,2,1,0.9,0,64.7,1,1
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,4737,226.27,3,2,2.1,0,75.3,4,1
OC1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C#N)CC1,4747,365.5,5,1,3.5,0,75.8,4,1
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)Cl)CC1,4748,404,5,1,4.2,0,55.2,6,1
NC(=O)NC(=O)Cc1ccccc1,4753,178.19,2,2,0.9,0,72.2,2,1
CCOc1ccc(cc1)NC(C)=O,4754,179.22,2,1,1.6,0,38.3,3,1
CC1NCCOC1c1ccccc1,4762,177.24,2,1,1.4,0,21.3,1,1
CCC1(C(=O)NC(=O)NC1=O)c1ccccc1,4763,232.23,3,2,1.5,0,75.3,2,1
NC(=O)OCCCc1ccccc1,4770,179.22,2,1,2,0,52.3,5,1
CN1CCC(CC1)=C1c2ccccc2Sc2ccccc12,4822,293.4,2,0,3.9,0,28.5,0,1
NC(=O)C1(CCN(CCCC(=O)c2ccc(cc2)F)CC1)N1CCCCC1,4830,375.5,5,1,2,0,66.6,7,1
NC(=O)CN1CCCC1=O,4843,142.16,2,1,-1.3,0,63.4,2,1
C1Oc2ccc(cc2O1)CN1CCN(CC1)c1ncccn1,4850,298.34,6,0,1.8,0,50.7,3,1
CC(C)(C)C(=O)OCOC(=O)C1N2C(SC1(C)C)C(/N=C/N1CCCCCC1)C2=O PIVMECILLINAM,4857,439.6,7,0,3.1,0,114,8,0
Clc1ccc2c(c1)C(=NCC(=O)N2CC1CC1)c1ccccc1,4890,324.8,2,0,3.6,0,32.7,3,1
CCC1(C(=O)NCNC1=O)c1ccccc1,4909,218.25,2,2,0.9,0,58.2,2,1
CNNCc1ccc(cc1)C(=O)NC(C)C,4915,221.3,3,3,0.1,0,53.2,5,1
CN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)Cl)CC1,4917,373.9,4,0,4.9,0,35,4,1
CN(C)CCCN1c2ccccc2Sc2ccccc12,4926,284.4,3,0,4.5,0,31.8,4,1
CC(CN1c2ccccc2Sc2ccccc12)N(C)C,4927,284.4,3,0,4.8,0,31.8,3,1
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,4932,341.4,4,2,3.3,0,58.6,11,0
CCC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2,4940,340.5,4,0,4.8,0,48.8,5,1
CC(C)c1cccc(c1O)C(C)C,4943,178.27,1,1,3.8,0,20.2,2,1
CC(C)NCC(O)COc1cccc2ccccc12,4946,259.34,3,2,3,0,41.5,6,0
CNCCCC1c2ccccc2C=Cc2ccccc12,4976,263.4,1,1,4.4,0,12,4,1
CC(O)Cn1cnc2c1C(=O)N(C)C(=O)N2C,4977,238.24,4,1,-0.8,0,78.7,2,1
CCC1(CC)C(=O)NC=CC1=O,4994,167.2,2,1,1,0,46.2,2,1
Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(cc21)Cl,4999,386.8,6,0,4,0,47.7,2,1
OCCOCCN1CCN(CC1)C1=Nc2ccccc2Sc2ccccc12,5002,383.5,5,1,2.1,0,73.6,6,1
COc1cc2c(cc1OC)C(CN(C)CC2)c1ccccc1,5024,297.4,3,0,3.7,0,21.7,3,1
